Date,Type de transaction,Texte de notification

12/31/2025,Enregistrement comptable,DÉBIT ORDRE PERMANENT: 90-29076792 RAIFFEISEN RAIFFEISENPLATZ 9001 ST. GALLEN CH3580808008146396840 PIETRO ALBERTI 1006 LAUSANNE
12/29/2025,Enregistrement comptable,DÉBIT CH6030000001100260003 CAISSE CANTONALE VAUDOISE DE COMPEN SATION AVS RUE DES MOULINS 3 1800 VEVEY REFERENCE DE L'EXPEDITEUR: 20251227000800177090964
12/28/2025,Enregistrement comptable,TRANSFERT SUR COMPTE CH7809000000107525085
12/17/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 17.12.2025 AIMÉ POULY SA 4584 LAUSANNE (CH)
12/15/2025,Enregistrement comptable,DÉBIT UBS SWITZERLAND AG BAHNHOFSTRASSE 45 8098 ZÜRICH CH893000520211491010B SERAFE AG SUMMELENWEG 91 8808 PFÄFFIKON SZ REFERENCE DE L'EXPEDITEUR: 20251213000800685497209
12/13/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 13.12.2025 CAFFÈ SPETTACOLO 11889 LAUSANNE (CH)
12/12/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 12.12.2025 ZYMI SARL LAUSANNE (CH)
8/12/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 08.12.2025 CARTE N° XXXX0918 INFOMANIAK.COM INTERNET
5/12/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.12.2025 USD 21.62 AU COURS DE 0.8112 MONTANT DANS LA MONNAIE DU COMPTE 17.54 1.5% FRAIS DE TRAITEMENT CHF 0.26 CARTE N° XXXX0918 CLAUDE.AI SUBSCRIPTION SAN FRANCISCO
4/12/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 04.12.2025 M MIGROS DU SILO RENENS VD (CH)
4/12/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 04.12.2025 OBI RENENS RENENS (CH)
3/12/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 03.12.2025 CARTE N° XXXX0918 INFOMANIAK.COM INTERNET
2/12/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.12.2025 CARTE N° XXXX0918 INFOMANIAK.COM INTERNET
1/12/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 01.12.2025 POUR NUMÉRO MOBILE. +41774042694 MATOS, SEBASTIEN"
1/12/2025,Enregistrement comptable,DÉBIT ORDRE PERMANENT: 90-29076792 RAIFFEISEN RAIFFEISENPLATZ 9001 ST. GALLEN CH3580808008146396840 PIETRO ALBERTI 1006 LAUSANNE
11/28/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 28.11.2025 HAPPY DAYS LAUSANNE (CH)
11/27/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 27.11.2025 REATAURANT TÄI AU LAC LAUSANNE (CH)
11/26/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 26.11.2025 ZYMI SARL LAUSANNE (CH)
11/25/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 25.11.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD (CH)
11/25/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 25.11.2025 AUDIOSOURCE.CH LAUSANNE (CH)
11/24/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 24.11.2025 POUR NUMÉRO MOBILE. +41799496141 , SARAH COMMUNICATIONS: PADEL"
11/24/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 24.11.2025 COOP-5386 LS BEL AIR FOOBY LAUSANNE (CH)
11/24/2025,Enregistrement comptable,DÉBIT UBS SWITZERLAND AG BAHNHOFSTRASSE 45 8098 ZÜRICH CH1530005230P02034370 ZÜRICH VERSICHERUNGS-GESELLSCHAFT A G REGIONALSITZ ZÜRICH HAGENHOLZSTRASSE 60 8050 ZÜRICH REFERENCE DE L'EXPEDITEUR: 20251123000800956428463
